Time,Angle_rad,Center_X,Center_Y,Confidence
1.89,-0.024139725,551.3815,517.4459,1
1.895,-0.018861833,562.4625,518.0029,1
1.9,-0.013563083,573.5884,517.6961,1
1.905,-0.00838367,584.4645,517.9915,1
1.91,-0.003259768,595.2245,517.8934,1
1.915,0.002196002,606.6816,517.5388,1
1.92,0.007232396,617.2579,518.3069,1
1.925,0.012478276,628.2737,517.4644,1
1.93,0.017821277,639.4927,517.1431,1
1.935,0.022883616,650.1214,517.3891,1
1.94,0.028321786,661.5378,516.3717,1
1.945,0.033757935,672.9482,517.0035,1
1.95,0.038899095,683.7375,515.7474,1
1.955,0.043925505,694.2839,515.1666,1
1.96,0.049095673,705.1295,514.8652,1
1.965,0.054255567,715.9508,513.5178,1
1.97,0.059021213,725.9426,513.1499,1
1.975,0.064105326,736.599,512.8923,1
1.98,0.069339885,747.5671,511.4939,1
1.985,0.07445415,758.2793,510.3605,1
1.99,0.079292683,768.4102,509.7405,1
1.995,0.084785784,779.9069,508.4653,1
2,0.089005518,788.7349,507.4773,1
2.005,0.093776576,798.7123,506.2692,1
2.01,0.099028013,809.6891,504.992,1
2.015,0.103494084,819.0198,504.7817,1
2.02,0.108337756,829.1345,503.1264,1
2.025,0.11315465,839.188,502.077,1
2.03,0.117689686,848.6482,501.4163,1
2.035,0.122704924,859.1042,499.3557,1
2.04,0.127115337,868.2939,498.2914,1
2.045,0.131746652,877.9383,496.9119,1
2.05,0.135633095,886.027,495.1153,1
2.055,0.1401619,895.4472,493.7438,1
2.06,0.14416938,903.778,492.8343,1
2.065,0.148201966,912.1561,491.5375,1
2.07,0.152967037,922.0495,489.5781,1
2.075,0.156718494,929.8333,488.6877,1
2.08,0.160834267,938.3677,487.1119,1
2.085,0.1649735,946.945,485.5272,1
2.09,0.169145055,955.5833,483.8791,1
2.095,0.173021459,963.6049,482.2042,1
2.1,0.176689681,971.1907,480.7,1
2.105,0.180377539,978.8121,479.256,1
2.11,0.187912181,994.3673,476.0296,1
2.115,0.191583117,1001.9379,474.5103,1
2.12,0.194686097,1008.333,472.8694,1
2.125,0.198340481,1015.8595,471.5363,1
2.13,0.201277001,1021.9035,469.9353,1
2.135,0.20461299,1028.7653,468.0898,1
2.14,0.207990613,1035.7079,466.7074,1
2.145,0.210757906,1041.3923,465.8361,1
2.15,0.214203637,1048.4656,464.1163,1
2.155,0.216616254,1053.415,462.3307,1
2.16,0.219427129,1059.1781,461.23,1
2.165,0.222153162,1064.7638,459.275,1
2.17,0.224397345,1069.3596,458.2068,1
2.175,0.227510528,1075.7311,457.2365,1
2.18,0.229902921,1080.6243,456.1002,1
2.185,0.232335997,1085.5979,454.5401,1
2.19,0.234345455,1089.7034,453.6529,1
2.195,0.236467996,1094.0378,451.8456,1
2.2,0.238628526,1098.4475,450.6661,1
2.205,0.240376172,1102.0128,450.0922,1
2.21,0.242502416,1106.3484,448.9963,1
2.215,0.244221893,1109.8529,448.4684,1
2.22,0.246059744,1113.597,447.4008,1
2.225,0.247620922,1116.7761,446.341,1
2.23,0.248749207,1119.0729,445.319,1
2.235,0.250349148,1122.3287,444.5306,1
2.24,0.251647204,1124.9692,443.6098,1
2.245,0.252491258,1126.6857,443.1537,1
2.25,0.253878976,1129.507,442.2505,1
2.255,0.25500814,1131.8019,441.9753,1
2.26,0.255720626,1133.2496,441.858,1
2.265,0.256544159,1134.9226,441.2339,1
2.27,0.25721754,1136.2903,440.4883,1
