Frame,Time_Sec,Center_X,Center_Y,Angle_rad
318,1.5900,551.2297,357.5803,-0.0242
319,1.5950,499.3260,362.7887,-0.0489
320,1.6000,447.8645,363.8067,-0.0735
321,1.6050,402.3392,363.9059,-0.0953
322,1.6100,350.1617,362.7261,-0.1202
323,1.6150,291.4788,357.7594,-0.1484
324,1.6200,250.6428,354.7244,-0.1681
325,1.6250,206.0124,350.5975,-0.1897
326,1.6300,160.8755,341.8744,-0.2117
327,1.6350,131.1681,335.8453,-0.2262
328,1.6400,103.2815,330.1668,-0.2398
329,1.6450,80.7758,324.9057,-0.2509
330,1.6500,68.4013,321.6938,-0.2569
331,1.6550,58.7489,319.1503,-0.2617
332,1.6600,57.6399,319.1631,-0.2622
333,1.6650,61.1951,320.3427,-0.2605
334,1.6700,73.1641,324.1318,-0.2546
335,1.6750,92.3205,328.2270,-0.2452
336,1.6800,113.5187,332.2115,-0.2348
337,1.6850,144.9674,338.8716,-0.2194
338,1.6900,181.5056,345.8572,-0.2016
339,1.6950,217.1704,350.7189,-0.1843
340,1.7000,261.4196,357.1159,-0.1629
341,1.7050,311.4920,360.6403,-0.1388
342,1.7100,355.1440,362.9034,-0.1179
343,1.7150,407.2186,364.5030,-0.0929
344,1.7200,459.7198,363.5117,-0.0678
345,1.7250,504.4140,362.6441,-0.0465
346,1.7300,554.3257,357.0813,-0.0227
347,1.7350,601.7717,352.1170,-0.0001
348,1.7400,644.8438,346.0694,0.0204
349,1.7450,683.7568,339.7682,0.0389
350,1.7500,717.8079,331.7453,0.0551
351,1.7550,742.2124,325.4149,0.0668
352,1.7600,763.9141,319.8895,0.0771
353,1.7650,780.3122,315.1649,0.0850
354,1.7700,789.3540,313.5891,0.0893
355,1.7750,792.2578,313.1759,0.0907
356,1.7800,789.3130,313.5906,0.0893
357,1.7850,780.5177,318.5086,0.0851
358,1.7900,766.1523,321.4574,0.0782
359,1.7950,743.2540,327.2380,0.0673
360,1.8000,719.5171,332.4157,0.0560
361,1.8050,685.9738,339.8162,0.0400
362,1.8100,646.3696,346.9872,0.0211
363,1.8150,609.2517,352.3298,0.0034
364,1.8200,562.7369,356.1954,-0.0187
365,1.8250,505.2805,362.4472,-0.0461
366,1.8300,460.6955,363.8225,-0.0674
367,1.8350,409.0616,364.3644,-0.0920
368,1.8400,356.3080,362.8304,-0.1173
369,1.8450,312.0278,360.6670,-0.1386
370,1.8500,263.1697,356.8379,-0.1621
371,1.8550,217.5378,350.6597,-0.1841
372,1.8600,182.0374,345.1483,-0.2014
373,1.8650,146.1042,339.2836,-0.2189
374,1.8700,114.7409,332.5934,-0.2342
375,1.8750,92.7299,327.8602,-0.2450
376,1.8800,73.9415,323.8485,-0.2542
377,1.8850,62.1284,320.0202,-0.2600
378,1.8900,57.7717,318.5956,-0.2622
379,1.8950,59.5253,319.2687,-0.2613
380,1.9000,65.8925,322.3202,-0.2582
381,1.9050,79.8449,325.8837,-0.2513
382,1.9100,103.8710,330.4401,-0.2395
383,1.9150,132.0711,336.0395,-0.2257
384,1.9200,161.4842,342.0229,-0.2114
385,1.9250,200.8086,347.3200,-0.1923
386,1.9300,244.8794,354.3985,-0.1709
387,1.9350,292.8772,359.8698,-0.1478
388,1.9400,342.4446,361.9317,-0.1239
389,1.9450,394.5652,364.0990,-0.0990
390,1.9500,439.0453,364.0907,-0.0777
391,1.9550,491.1316,362.0011,-0.0529
392,1.9600,541.9612,358.4600,-0.0286
393,1.9650,582.6051,354.3326,-0.0093
394,1.9700,628.2284,348.1024,0.0125
395,1.9750,668.7778,341.3715,0.0318
396,1.9800,699.7178,335.0621,0.0465
397,1.9850,730.8792,328.5540,0.0614
398,1.9900,755.7700,322.9648,0.0733
399,1.9950,772.5558,318.0697,0.0813
400,2.0000,786.4882,313.6981,0.0879
401,2.0050,791.5151,313.9031,0.0903
402,2.0100,790.5261,313.2697,0.0899
